,sid,age,lat,long
0,72,38.0,40.76727216,-73.99392888
1,79,40.0,40.71911552,-74.00666661
2,82,36.0,40.71117416,-74.00016545
3,83,35.0,40.68382604,-73.97632328
4,116,37.0,40.74177603,-74.00149746
5,119,42.0,40.69608941,-73.97803415
6,120,35.0,40.68676793,-73.95928168
7,127,38.0,40.73172428,-74.00674436
8,128,34.0,40.72710258,-74.00297088
9,137,41.0,40.761628,-73.972924
10,143,38.0,40.69239502,-73.99337909
11,144,32.0,40.69839895,-73.98068914
12,146,42.0,40.71625008,-74.0091059
13,147,39.0,40.71542197,-74.01121978
14,150,31.0,40.7208736,-73.98085795
15,151,34.0,40.7218158,-73.99720307
16,152,40.0,40.71473993,-74.00910627
17,153,39.0,40.752062307,-73.9816324043
18,157,36.0,40.69089272,-73.99612349
19,160,36.0,40.748238,-73.978311
20,161,32.0,40.72917025,-73.99810231
21,164,37.0,40.75323098,-73.97032517
22,167,36.0,40.7489006,-73.97604882
23,168,38.0,40.73971301,-73.99456405
24,173,37.0,40.76064679,-73.98442659
25,174,31.0,40.7381765,-73.97738662
26,195,37.0,40.70905623,-74.01043382
27,212,37.0,40.74334935,-74.00681753
28,216,43.0,40.70037867,-73.99548059
29,217,37.0,40.70277159,-73.99383605
30,218,36.0,40.69028437,-73.98707105
31,223,37.0,40.73781509,-73.99994661
32,224,37.0,40.71146364,-74.00552427
33,225,36.0,40.74195138,-74.00803013
34,228,36.0,40.7546011026,-73.971878855
35,229,34.0,40.72743423,-73.99379025
36,232,36.0,40.69597683,-73.99014892
37,233,39.0,40.69246277,-73.98963911
38,236,32.0,40.7284186,-73.98713956
39,237,32.0,40.73047309,-73.98672378
40,238,39.0,40.7361967,-74.00859207
41,239,37.0,40.69196566,-73.9813018
42,241,36.0,40.68981035,-73.97493121
43,242,34.0,40.69788349,-73.97350332
44,243,36.0,40.688226,-73.979382
45,244,35.0,40.69196035,-73.96536851
46,245,36.0,40.69327018,-73.97703874
47,247,36.0,40.73535398,-74.00483091
48,248,42.0,40.72185379,-74.00771779
49,249,38.0,40.71870987,-74.0090009
50,250,34.0,40.72456089,-73.99565293
51,251,33.0,40.72317958,-73.99480012
52,252,35.0,40.73226398,-73.99852205
53,254,38.0,40.73532427,-73.99800419
54,257,38.0,40.71939226,-74.00247214
55,258,35.0,40.68940747,-73.96885458
56,259,37.0,40.70122128,-74.01234218
57,260,39.0,40.70365182,-74.01167797
58,261,33.0,40.69474881,-73.98362464
59,262,36.0,40.69178232,-73.97372989
60,263,36.0,40.71729,-73.996375
61,264,36.0,40.70706456,-74.00731853
62,265,36.0,40.72229346,-73.99147535
63,266,33.0,40.72368361,-73.97574813
64,267,37.0,40.75097711,-73.98765428
65,268,36.0,40.71910537,-73.99973337
66,270,36.0,40.69308257,-73.97178913
67,271,38.0,40.68528172,-73.97805813
68,274,37.0,40.68691865,-73.976682
69,275,37.0,40.68650065,-73.96563307
70,276,40.0,40.71748752,-74.0104554
71,278,31.0,40.69766564,-73.98476437
72,279,37.0,40.707873,-74.00167
73,280,36.0,40.73331967,-73.99510132
74,281,39.0,40.7643971,-73.97371465
75,282,36.0,40.70827295,-73.96834101
76,284,37.0,40.7390169121,-74.0026376103
77,285,34.0,40.73454567,-73.99074142
78,289,39.0,40.6845683,-73.95881081
79,290,35.0,40.76020258,-73.96478473
80,291,41.0,40.713126,-73.984844
81,293,35.0,40.73028666,-73.9907647
82,294,29.0,40.73049393,-73.9957214
83,295,35.0,40.71406667,-73.99293911
84,296,40.0,40.71413089,-73.9970468
85,297,33.0,40.734232,-73.986923
86,298,35.0,40.68683208,-73.9796772
87,300,31.0,40.728145,-73.990214
88,301,32.0,40.72217444,-73.98368779
89,302,37.0,40.72082834,-73.97793172
90,303,36.0,40.72362738,-73.99949601
91,304,39.0,40.70463334,-74.01361706
92,305,36.0,40.76095756,-73.96724467
93,306,34.0,40.70823502,-74.00530063
94,307,37.0,40.71427487,-73.98990025
95,308,36.0,40.71307916,-73.99851193
96,309,37.0,40.7149787,-74.013012
97,310,36.0,40.68926942,-73.98912867
98,311,37.0,40.7172274,-73.98802084
99,312,33.0,40.722055,-73.989111
100,313,34.0,40.69610226,-73.96751037
101,314,41.0,40.69383,-73.990539
102,315,39.0,40.70355377,-74.00670227
103,316,36.0,40.70955958,-74.00653609
104,317,31.0,40.72453734,-73.98185424
105,318,43.0,40.75320159,-73.9779874
106,319,37.0,40.71336124,-74.00937622
107,320,38.0,40.717571,-74.005549
108,321,41.0,40.69991755,-73.98971773
109,322,39.0,40.696192,-73.991218
110,323,35.0,40.69236178,-73.98631746
111,324,36.0,40.689888,-73.981013
112,325,34.0,40.73624527,-73.98473765
113,326,32.0,40.72953837,-73.98426726
114,327,39.0,40.7153379,-74.01658354
115,328,39.0,40.72405549,-74.00965965
116,329,39.5,40.72043411,-74.01020609
117,330,41.0,40.71450451,-74.00562789
118,331,33.0,40.71173107,-73.99193043
119,332,44.0,40.71219906,-73.97948148
120,334,39.0,40.74238787,-73.99726235
121,335,30.0,40.72903917,-73.99404649
122,336,31.0,40.73047747,-73.99906065
123,337,37.0,40.7037992,-74.00838676
124,339,35.0,40.72580614,-73.97422494
125,340,37.0,40.71269042,-73.98776323
126,341,38.0,40.71782143,-73.97628939
127,342,41.0,40.71739973,-73.98016555
128,343,32.0,40.69794,-73.96986848
129,344,37.0,40.6851443,-73.95380904
130,345,36.0,40.73649403,-73.99704374
131,346,38.5,40.73652889,-74.00618026
132,347,37.0,40.72873888,-74.00748842
133,348,35.0,40.72490985,-74.00154702
134,349,32.0,40.71850211,-73.98329859
135,350,43.0,40.71559509,-73.9870295
136,351,37.0,40.70530954,-74.00612572
137,352,38.0,40.76340613,-73.97722479
138,353,36.0,40.68539567,-73.97431458
139,354,34.5,40.69363137,-73.96223558
140,355,34.0,40.71602118,-73.99974372
141,356,42.0,40.71622644,-73.98261206
142,357,37.0,40.73261787,-73.99158043
143,358,36.0,40.73291553,-74.00711384
144,359,43.0,40.75510267,-73.97498696
145,360,37.0,40.70717936,-74.00887308
146,361,35.0,40.71605866,-73.99190759
147,362,38.0,40.75172632,-73.98753523
148,363,39.0,40.70834698,-74.01713445
149,364,35.0,40.68900443,-73.96023854
150,365,35.0,40.68223166,-73.9614583
151,366,36.0,40.693261,-73.968896
152,367,37.0,40.75828065,-73.97069431
153,368,33.0,40.73038599,-74.00214988
154,369,36.0,40.73224119,-74.00026394
155,372,34.0,40.694528,-73.958089
156,373,35.0,40.69331716,-73.95381995
157,375,34.0,40.72679454,-73.99695094
158,376,36.0,40.70862144,-74.00722156
159,377,37.0,40.72243797,-74.00566443
160,379,38.0,40.749156,-73.9916
161,380,36.0,40.73401143,-74.00293877
162,382,35.0,40.73492695,-73.99200509
163,383,35.0,40.735238,-74.000271
164,384,37.0,40.68317813,-73.9659641
165,385,37.0,40.75797322,-73.96603308
166,386,41.0,40.71494807,-74.00234482
167,387,38.0,40.71273266,-74.0046073
168,388,38.0,40.749717753,-74.002950346
169,389,33.0,40.71044554,-73.96525063
170,390,39.0,40.69221589,-73.9842844
171,391,36.0,40.69760127,-73.99344559
172,392,31.0,40.695065,-73.987167
173,393,33.0,40.72299208,-73.97995466
174,394,31.0,40.72521311,-73.97768752
175,395,37.0,40.68807003,-73.98410637
176,396,33.0,40.680342423,-73.9557689392
177,397,36.0,40.68415748,-73.96922273
178,398,37.0,40.69165183,-73.9999786
179,399,37.0,40.68851534,-73.9647628
180,400,31.0,40.71926081,-73.98178024
181,401,32.0,40.72019576,-73.98997825
182,402,37.0,40.7403432,-73.98955109
183,403,33.0,40.72502876,-73.99069656
184,404,35.0,40.7405826,-74.00550867
185,405,35.0,40.739323,-74.008119
186,406,41.0,40.69512845,-73.99595065
187,407,41.0,40.700469,-73.991454
188,408,36.0,40.71076228,-73.99400398
189,409,36.0,40.6906495,-73.95643107
190,410,34.0,40.72066442,-73.98517977
